Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-08-25 10:58:45,false,"Eugene - C25k week 9!","2.29","236","00:24:59","140","191","152","171","10:54","8:46","7","7","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.75","4","0.0","00:24:58","00:25:28","435","448"
Running,2021-08-25 11:38:02,false,"Eugene Running","0.98","104","00:09:18.8","165","191","165","171","9:30","9:02","62","39","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.83","10","0.0","00:09:18.0","00:09:18.8","446","508"
Running,2021-08-28 11:49:01,false,"Eugene - C25k week 9!","3.01","366","00:35:57","146","186","156","173","11:56","9:57","279","223","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:06.61","5","0.0","00:35:55","00:36:07","398","489"
Running,2021-09-05 18:12:34,false,"Eugene Running","2.00","241","00:20:48","169","192","162","170","10:23","9:02","7","7","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.72","3","0.0","00:20:48","00:20:48","444","454"
Running,2021-09-07 12:11:33,false,"Eugene - 5K","3.11","392","00:35:49","168","190","158","167","11:31","10:20","184","180","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.56","5","0.0","00:35:48","00:35:49","396","512"
Running,2021-09-10 11:45:36,false,"Eugene Running","2.01","230","00:20:54","167","190","160","168","10:24","9:27","62","36","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.16","3","0.0","00:20:54","00:20:54","428","496"
Running,2021-09-12 13:27:39,false,"Eugene Running","2.00","223","00:19:22","170","188","164","175","9:40","7:46","33","36","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.09","3","0.0","00:19:22","00:21:34","417","489"
Running,2021-09-14 09:12:50,false,"Eugene Running","2.00","228","00:20:17","164","187","165","170","10:07","9:08","--","--","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.85","3","0.0","00:20:16","00:20:17","442","454"
Running,2021-09-16 10:09:12,false,"Eugene Running","2.02","233","00:20:02","172","194","166","174","9:56","8:35","13","26","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.71","3","0.0","00:20:01","00:20:02","448","464"
Running,2021-09-19 12:16:04,false,"Eugene Running","2.01","232","00:20:15","169","191","162","171","10:04","8:33","--","7","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.59","3","0.0","00:20:15","00:20:15","440","450"
Running,2021-09-21 09:54:48,false,"Eugene Running","2.01","238","00:20:12","172","190","165","178","10:04","9:16","161","157","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.66","3","0.0","00:20:11","00:20:12","416","552"
Running,2021-09-25 12:19:40,false,"Eugene Running","2.03","231","00:20:09","166","190","167","179","9:56","7:51","--","--","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:14.15","3","0.0","00:20:09","00:20:09","438","451"
Running,2021-09-28 06:54:24,false,"Eugene Running","2.04","246","00:22:00","164","189","163","172","10:48","9:29","82","95","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:20.03","3","0.0","00:21:58","00:22:00","428","499"
Running,2021-09-30 15:48:00,false,"Eugene Running","2.06","174","00:30:30","152","185","167","186","14:49","6:48","135","69","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:27.24","3","0.0","00:17:29","00:28:58","388","488"
