Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-04-18 10:31:59,false,"Eugene Running","2.02","246","00:22:15","145","167","167","177","11:02","8:49","217","269","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.01","3","0.0","00:22:15","00:22:15","383","489"
Running,2022-04-16 13:33:48,false,"Eugene Running","6.09","766","01:12:28","152","170","163","174","11:55","10:14","1,079","1,168","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:57.09","7","0.0","01:12:12","01:12:28","308","474"
Running,2022-04-15 18:27:36,false,"Eugene Running","7.10","922","01:21:08","156","184","166","177","11:25","9:29","955","968","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:13.51","8","0.0","01:20:46","01:21:45","331","470"
Running,2022-04-14 08:57:38,false,"Eugene Running","4.08","525","00:45:11","154","178","167","180","11:05","8:52","351","371","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:47.60","5","0.0","00:45:09","00:45:11","377","494"
Running,2022-04-12 17:19:25,false,"Eugene Running","5.43","720","01:00:34","159","184","166","196","11:10","5:45","535","538","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:28.82","6","0.0","01:00:26","01:01:14","371","479"
Running,2022-04-11 10:19:55,false,"Eugene - 3plusstrides","3.00","348","00:34:23","138","158","166","200","11:28","6:22","377","367","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:14.25","9","0.0","00:34:20","00:34:23","423","537"
Running,2022-04-09 10:31:27,false,"Eugene Running","10.25","1,246","01:56:04","149","172","167","177","11:19","8:35","925","942","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:45.03","11","0.0","01:55:44","01:58:05","360","531"
Running,2022-04-08 16:53:28,false,"Eugene Running","4.25","530","00:46:36","152","172","168","190","10:58","6:20","338","374","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:37.02","5","0.0","00:46:35","00:46:36","349","490"
Running,2022-04-07 09:00:27,false,"Eugene Running","3.61","463","00:40:59","152","167","166","180","11:20","9:15","466","509","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:43.07","4","0.0","00:40:59","00:42:30","406","479"
Running,2022-04-06 09:10:37,false,"Eugene Running","5.04","615","00:58:01","147","166","167","177","11:30","9:20","630","640","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:27.02","6","0.0","00:57:58","00:58:01","341","428"
Running,2022-04-05 08:31:35,false,"Eugene - fast/slow","4.35","516","00:42:52","162","187","169","186","9:51","7:30","262","285","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.03","26","0.0","00:42:46","00:44:55","382","437"
Running,2022-04-04 10:04:42,false,"Eugene Running","4.20","524","00:48:12","145","173","163","178","11:28","8:24","489","531","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:59.59","5","0.0","00:47:58","00:48:50","351","469"
Running,2022-04-02 11:01:06,false,"Eugene - 9miles","9.13","1,126","01:43:32","152","178","166","188","11:21","8:02","679","679","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.74","14","0.0","01:43:25","01:46:31","339","473"
Running,2022-04-01 09:46:41,false,"Eugene Running","2.57","306","00:25:45","155","173","168","178","10:02","8:27","203","226","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:48.75","3","0.0","00:25:44","00:25:45","339","447"
Running,2022-03-31 09:10:48,false,"Eugene - threshold","3.29","382","00:32:02","162","180","169","184","9:45","7:35","276","348","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.80","15","0.0","00:32:00","00:32:43","326","415"
Running,2022-03-30 17:05:42,false,"Eugene Running","5.02","659","00:55:43","162","177","166","174","11:06","9:37","279","322","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.93","6","0.0","00:55:41","00:55:43","336","410"
Running,2022-03-29 07:32:37,false,"Eugene - 3strides","3.72","445","00:43:26","146","162","156","218","11:40","4:46","371","404","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.37","16","0.0","00:43:14","00:43:26","362","475"
Running,2022-03-28 13:06:06,false,"Eugene - shorttolong","5.09","664","00:58:59","158","179","164","176","11:36","9:45","459","499","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.46","11","0.0","00:58:57","00:59:01","313","406"
Running,2022-03-26 11:17:38,false,"Eugene - 8mile","8.20","1,054","01:35:09","160","181","162","173","11:36","9:27","807","804","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.18","16","0.0","01:35:06","01:37:49","328","444"
Running,2022-03-25 15:22:40,false,"Eugene - 4miles","4.18","513","00:45:18","157","180","162","173","10:50","8:54","299","285","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.35","8","0.0","00:45:17","00:45:18","333","428"
